INSERT INTO curso VALUES ('Matemática', 'Ciências Exatas e da Terra', 5, 'Bacharelado', 'Integral', 6, 2000, 'São Paulo', 'USP');
INSERT INTO curso VALUES ('Ciência da computação', 'Ciências Exatas e da Terra', 5, 'Bacharelado', 'Noturno', 12, 2005, 'São Paulo', 'USP');
INSERT INTO curso VALUES ('Ciência agrária', 'Ciências Agrárias', 4, 'Licenciatura', 'Matutino', 10, 2001, 'São Paulo', 'USP');
INSERT INTO curso VALUES ('Ciências biológicas', 'Ciências Biológicas', 1, 'Doutorado', 'Vespertino', 2, 2010, 'São Paulo', 'USP');
INSERT INTO curso VALUES ('Filosofia', 'Ciências Humanas', 4, 'Mestrado', 'Integral', 5, 2003, 'São Paulo', 'USP');
INSERT INTO curso VALUES ('História', 'Ciências Humanas', 3, 'Mestrado', 'Vespertino', 3, 2011, 'São Paulo', 'USP');
INSERT INTO curso VALUES ('Geografia', 'Ciências Humanas', 1, 'Doutorado', 'Matutino', 4, 2007, 'Sorocaba', 'UFSCar');
INSERT INTO curso VALUES ('Ciências sociais', 'Outros', 0, 'Licenciatura', 'Matutino', 7, 2008, 'Sorocaba', 'UFSCar');
INSERT INTO curso VALUES ('Engenharia da computação', 'Engenharias', 5, 'Bacharelado', 'Noturno', 9, 2009, 'Sorocaba', 'UFSCar');
INSERT INTO curso VALUES ('Ciência da computação', 'Ciências Exatas e da Terra', 5, 'Licenciatura', 'Integral', 10, 2006, 'Sorocaba', 'UFSCar');
INSERT INTO curso VALUES ('Ciências exatas', 'Ciências Exatas e da Terra', 4, 'Bacharelado', 'Noturno', 12, 2003, 'Sorocaba', 'UFSCar');
INSERT INTO curso VALUES ('Ciências da aeronáutica', 'Engenharias', 3, 'Doutorado', 'Integral', 10, 2008, 'Sorocaba', 'UFSCar');
INSERT INTO curso VALUES ('Engenharia da computação', 'Engenharias', 5, 'Doutorado', 'Noturno', 2, 2010, 'Osasco', 'UNIFESP');
INSERT INTO curso VALUES ('Ciência marítima', 'Ciências Biológicas', 2, 'Bacharelado', 'Integral', 10, 2019, 'Osasco', 'UNIFESP');
INSERT INTO curso VALUES ('Biologia', 'Ciências Biológicas', 2, 'Licenciatura', 'Noturno', 12, 2019, 'Osasco', 'UNIFESP');
INSERT INTO curso VALUES ('Química', 'Ciências Exatas e da Terra', 1, 'Mestrado', 'Matutino', 9, 2012, 'Osasco', 'UNIFESP');
INSERT INTO curso VALUES ('Administração', 'Ciências Sociais Aplicadas', 0, 'Doutorado', 'Vespertino', 8, 2013, 'Osasco', 'UNIFESP');
INSERT INTO curso VALUES ('Economia', 'Ciências Sociais Aplicadas', 4, 'Tecnólogo', 'Vespertino', 7, 2014, 'Osasco', 'UNIFESP');
INSERT INTO curso VALUES ('Economia', 'Ciências Sociais Aplicadas', 4, 'Tecnólogo', 'Matutino', 1, 2015, 'Bauru', 'USP');
INSERT INTO curso VALUES ('Ciências econômicas', 'Ciências Sociais Aplicadas', 2, 'Mestrado', 'Vespertino', 10, 2017, 'Bauru', 'USP');
INSERT INTO curso VALUES ('Ciências exatas', 'Ciências Exatas e da Terra', 3, 'Bacharelado', 'Integral', 12, 2019, 'Bauru', 'USP');
